file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,51,css,525918e8,Alyx Wikarsa,2025-05-02,22:02:10,-07:00,2025-05-02T22:02:10-07:00,0,7
style.css,52,css,525918e8,Alyx Wikarsa,2025-05-02,22:02:10,-07:00,2025-05-02T22:02:10-07:00,0,13
style.css,53,css,525918e8,Alyx Wikarsa,2025-05-02,22:02:10,-07:00,2025-05-02T22:02:10-07:00,0,0
style.css,54,css,525918e8,Alyx Wikarsa,2025-05-02,22:02:10,-07:00,2025-05-02T22:02:10-07:00,0,0
style.css,55,css,525918e8,Alyx Wikarsa,2025-05-02,22:02:10,-07:00,2025-05-02T22:02:10-07:00,0,5
style.css,56,css,525918e8,Alyx Wikarsa,2025-05-02,22:02:10,-07:00,2025-05-02T22:02:10-07:00,0,9
style.css,57,css,525918e8,Alyx Wikarsa,2025-05-02,22:02:10,-07:00,2025-05-02T22:02:10-07:00,0,11
style.css,58,css,525918e8,Alyx Wikarsa,2025-05-02,22:02:10,-07:00,2025-05-02T22:02:10-07:00,0,22
style.css,59,css,23b3c099,Alyx Wikarsa,2025-04-10,13:15:49,-07:00,2025-04-10T13:15:49-07:00,0,14
style.css,60,css,23b3c099,Alyx Wikarsa,2025-04-10,13:15:49,-07:00,2025-04-10T13:15:49-07:00,0,0
style.css,61,css,23b3c099,Alyx Wikarsa,2025-04-10,13:15:49,-07:00,2025-04-10T13:15:49-07:00,0,0
style.css,62,css,23b3c099,Alyx Wikarsa,2025-04-10,13:15:49,-07:00,2025-04-10T13:15:49-07:00,0,5
style.css,63,css,23b3c099,Alyx Wikarsa,2025-04-10,13:15:49,-07:00,2025-04-10T13:15:49-07:00,0,13
style.css,64,css,23b3c099,Alyx Wikarsa,2025-04-10,13:15:49,-07:00,2025-04-10T13:15:49-07:00,0,31
style.css,65,css,525918e8,Alyx Wikarsa,2025-05-02,22:02:10,-07:00,2025-05-02T22:02:10-07:00,0,10
style.css,66,css,23b3c099,Alyx Wikarsa,2025-04-10,13:15:49,-07:00,2025-04-10T13:15:49-07:00,0,0
style.css,67,css,23b3c099,Alyx Wikarsa,2025-04-10,13:15:49,-07:00,2025-04-10T13:15:49-07:00,0,0
style.css,68,css,23b3c099,Alyx Wikarsa,2025-04-10,13:15:49,-07:00,2025-04-10T13:15:49-07:00,0,6
style.css,69,css,23b3c099,Alyx Wikarsa,2025-04-10,13:15:49,-07:00,2025-04-10T13:15:49-07:00,0,13
style.css,70,css,23b3c099,Alyx Wikarsa,2025-04-10,13:15:49,-07:00,2025-04-10T13:15:49-07:00,0,30
style.css,71,css,23b3c099,Alyx Wikarsa,2025-04-10,13:15:49,-07:00,2025-04-10T13:15:49-07:00,0,19
style.css,72,css,525918e8,Alyx Wikarsa,2025-05-02,22:02:10,-07:00,2025-05-02T22:02:10-07:00,0,0
style.css,73,css,525918e8,Alyx Wikarsa,2025-05-02,22:02:10,-07:00,2025-05-02T22:02:10-07:00,0,0
style.css,74,css,525918e8,Alyx Wikarsa,2025-05-02,22:02:10,-07:00,2025-05-02T22:02:10-07:00,0,7
style.css,75,css,525918e8,Alyx Wikarsa,2025-05-02,22:02:10,-07:00,2025-05-02T22:02:10-07:00,0,19
style.css,76,css,23b3c099,Alyx Wikarsa,2025-04-10,13:15:49,-07:00,2025-04-10T13:15:49-07:00,0,0
style.css,77,css,23b3c099,Alyx Wikarsa,2025-04-10,13:15:49,-07:00,2025-04-10T13:15:49-07:00,0,0
style.css,78,css,184b53a4,Alyx Wikarsa,2025-04-10,13:50:25,-07:00,2025-04-10T13:50:25-07:00,0,10
style.css,79,css,184b53a4,Alyx Wikarsa,2025-04-10,13:50:25,-07:00,2025-04-10T13:50:25-07:00,0,13
style.css,80,css,525918e8,Alyx Wikarsa,2025-05-02,22:02:10,-07:00,2025-05-02T22:02:10-07:00,0,59
style.css,81,css,525918e8,Alyx Wikarsa,2025-05-02,22:02:10,-07:00,2025-05-02T22:02:10-07:00,0,8
style.css,82,css,525918e8,Alyx Wikarsa,2025-05-02,22:02:10,-07:00,2025-05-02T22:02:10-07:00,0,15
style.css,83,css,184b53a4,Alyx Wikarsa,2025-04-10,13:50:25,-07:00,2025-04-10T13:50:25-07:00,0,0
style.css,84,css,184b53a4,Alyx Wikarsa,2025-04-10,13:50:25,-07:00,2025-04-10T13:50:25-07:00,0,0
style.css,85,css,525918e8,Alyx Wikarsa,2025-05-02,22:02:10,-07:00,2025-05-02T22:02:10-07:00,0,18
style.css,86,css,525918e8,Alyx Wikarsa,2025-05-02,22:02:10,-07:00,2025-05-02T22:02:10-07:00,0,44
style.css,87,css,525918e8,Alyx Wikarsa,2025-05-02,22:02:10,-07:00,2025-05-02T22:02:10-07:00,0,41
style.css,88,css,525918e8,Alyx Wikarsa,2025-05-02,22:02:10,-07:00,2025-05-02T22:02:10-07:00,0,18
style.css,89,css,525918e8,Alyx Wikarsa,2025-05-02,22:02:10,-07:00,2025-05-02T22:02:10-07:00,0,14
style.css,90,css,525918e8,Alyx Wikarsa,2025-05-02,22:02:10,-07:00,2025-05-02T22:02:10-07:00,0,43
